Name: Yarmouth Road, Instruction: Head west on Yarmouth Road, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 390.5 meters, Time: 281.2 seconds
Name: -, Instruction: Turn slight left, Distance: 344.0 meters, Time: 247.7 seconds
Name: -, Instruction: Turn left, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Manning Avenue, Instruction: Turn right onto Manning Avenue, Distance: 1142.8 meters, Time: 822.8 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
