Name: Hampden Street, Instruction: Head southeast on Hampden Street, Distance: 154.6 meters, Time: 111.3 seconds
Name: -, Instruction: Turn slight left, Distance: 13.5 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn right, Distance: 50.2 meters, Time: 36.2 seconds
Name: Harris Street, Instruction: Turn left onto Harris Street, Distance: 83.0 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 63.0 meters, Time: 45.3 seconds
Name: Quarry Street, Instruction: Turn slight right onto Quarry Street, Distance: 58.7 meters, Time: 42.2 seconds
Name: Jersey Road, Instruction: Turn left onto Jersey Road, Distance: 10.1 meters, Time: 7.3 seconds
Name: Holdsworth Street, Instruction: Turn sharp right onto Holdsworth Street, Distance: 388.6 meters, Time: 279.8 seconds
Name: -, Instruction: Turn left, Distance: 169.2 meters, Time: 121.8 seconds
Name: Kilminster Lane, Instruction: Turn right onto Kilminster Lane, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 811.4 meters, Time: 584.2 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn slight left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Turn left, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
