Name: Tannery Lane, Instruction: Head northwest on Tannery Lane, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 186.5 meters, Time: 134.3 seconds
Name: Genting Lane, Instruction: Turn right onto Genting Lane, Distance: 139.1 meters, Time: 100.2 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 461.4 meters, Time: 332.2 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: Kallang Way, Instruction: Turn left onto Kallang Way, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 63.8 meters, Time: 45.9 seconds
Name: -, Instruction: Turn left, Distance: 135.1 meters, Time: 97.3 seconds
Name: -, Instruction: Turn left, Distance: 92.5 meters, Time: 66.6 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Keep right, Distance: 253.7 meters, Time: 182.6 seconds
Name: -, Instruction: Turn left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn slight right, Distance: 329.3 meters, Time: 237.1 seconds
Name: -, Instruction: Turn slight right, Distance: 9.0 meters, Time: 6.4 seconds
Name: -, Instruction: Keep left, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Keep left, Distance: 350.4 meters, Time: 252.3 seconds
Name: Lorong 3 Geylang, Instruction: Turn left onto Lorong 3 Geylang, Distance: 193.8 meters, Time: 139.5 seconds
Name: -, Instruction: Keep left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Keep right, Distance: 76.6 meters, Time: 55.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
