Name: Route Aimable, Instruction: Head northwest on Route Aimable, Distance: 490.1 meters, Time: 352.8 seconds
Name: -, Instruction: Turn left, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Keep left, Distance: 192.7 meters, Time: 138.7 seconds
Name: -, Instruction: Turn left, Distance: 177.3 meters, Time: 127.7 seconds
Name: -, Instruction: Keep right, Distance: 27.0 meters, Time: 19.4 seconds
Name: Route des Batteries, Instruction: Turn left onto Route des Batteries, Distance: 22.5 meters, Time: 16.2 seconds
Name: Carrefour de la Conservation, Instruction: Continue straight onto Carrefour de la Conservation, Distance: 36.2 meters, Time: 26.1 seconds
Name: Route de Saint-Maurice, Instruction: Turn right onto Route de Saint-Maurice, Distance: 8.4 meters, Time: 6.0 seconds
Name: Route de la Ceinture du Lac Daumesnil, Instruction: Turn left onto Route de la Ceinture du Lac Daumesnil, Distance: 148.6 meters, Time: 107.0 seconds
Name: Route de la Ceinture du Lac Daumesnil, Instruction: Continue straight onto Route de la Ceinture du Lac Daumesnil, Distance: 349.9 meters, Time: 252.0 seconds
Name: -, Instruction: Turn left, Distance: 156.3 meters, Time: 112.5 seconds
Name: -, Instruction: Turn right, Distance: 187.6 meters, Time: 135.1 seconds
Name: -, Instruction: Keep left, Distance: 244.7 meters, Time: 176.2 seconds
Name: -, Instruction: Turn left, Distance: 79.5 meters, Time: 57.2 seconds
Name: Avenue de Gravelle, Instruction: Turn right onto Avenue de Gravelle, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 131.5 meters, Time: 94.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Avenue de Gravelle, Instruction: Turn sharp right onto Avenue de Gravelle, Distance: 36.0 meters, Time: 25.9 seconds
Name: Avenue de Gravelle, Instruction: Keep right onto Avenue de Gravelle, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Arrive at Avenue de Gravelle, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
