Name: Beamish Lane, Instruction: Head north on Beamish Lane, Distance: 7.6 meters, Time: 5.5 seconds
Name: South Parade, Instruction: Turn left onto South Parade, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Turn right, Distance: 134.3 meters, Time: 96.7 seconds
Name: Clissold Parade, Instruction: Turn right onto Clissold Parade, Distance: 549.5 meters, Time: 395.6 seconds
Name: Moore Street, Instruction: Enter the roundabout and take the 1st exit onto Moore Street, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 209.1 meters, Time: 150.5 seconds
Name: -, Instruction: Turn right, Distance: 84.9 meters, Time: 61.1 seconds
Name: Lindsay Street, Instruction: Continue straight onto Lindsay Street, Distance: 334.0 meters, Time: 240.5 seconds
Name: -, Instruction: Turn left, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 4.9 seconds
Name: Harmony Street, Instruction: Turn right onto Harmony Street, Distance: 90.2 meters, Time: 64.9 seconds
Name: Crieff Street, Instruction: Turn left onto Crieff Street, Distance: 315.8 meters, Time: 227.3 seconds
Name: Crieff Street, Instruction: Enter the roundabout and take the 2nd exit onto Crieff Street, Distance: 159.2 meters, Time: 114.6 seconds
Name: Goodlet Street, Instruction: Turn left onto Goodlet Street, Distance: 48.6 meters, Time: 35.0 seconds
Name: Melville Street, Instruction: Turn right onto Melville Street, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 332.8 meters, Time: 239.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
