Name: 豊島園通り, Instruction: Head northwest on 豊島園通り, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 373.1 meters, Time: 268.6 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 135.8 meters, Time: 97.7 seconds
Name: -, Instruction: Turn left, Distance: 403.5 meters, Time: 290.5 seconds
Name: -, Instruction: Keep right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Keep right, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Keep right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Keep left, Distance: 192.8 meters, Time: 138.8 seconds
Name: -, Instruction: Keep left, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Keep left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Keep left, Distance: 641.3 meters, Time: 461.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
