Name: Elm Road, Instruction: Head south on Elm Road, Distance: 446.2 meters, Time: 321.2 seconds
Name: -, Instruction: Turn left, Distance: 58.9 meters, Time: 42.4 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: Chatsworth Drive, Instruction: Turn right onto Chatsworth Drive, Distance: 102.1 meters, Time: 73.5 seconds
Name: Chudleigh Avenue, Instruction: Turn left onto Chudleigh Avenue, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 170.8 meters, Time: 123.0 seconds
Name: -, Instruction: Turn left, Distance: 39.5 meters, Time: 28.4 seconds
Name: Cheritan Avenue, Instruction: Turn left onto Cheritan Avenue, Distance: 252.9 meters, Time: 182.1 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
