Name: Bega Street, Instruction: Head southwest on Bega Street, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 106.2 meters, Time: 76.4 seconds
Name: -, Instruction: Turn right, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn left, Distance: 146.8 meters, Time: 105.7 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: Breakfast Road, Instruction: Turn left onto Breakfast Road, Distance: 74.7 meters, Time: 53.7 seconds
Name: Crudge Road, Instruction: Turn right onto Crudge Road, Distance: 783.5 meters, Time: 564.1 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Keep left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Keep right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Continue straight, Distance: 226.4 meters, Time: 163.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 63.9 meters, Time: 46.0 seconds
Name: St Andrews Crescent, Instruction: Turn left onto St Andrews Crescent, Distance: 171.7 meters, Time: 123.6 seconds
Name: -, Instruction: Arrive at St Andrews Crescent, on the right, Distance: 0.0 meters, Time: 0.0 seconds
