Name: Galway Street, Instruction: Head north on Galway Street, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 373.4 meters, Time: 268.8 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: Arthur Street, Instruction: Turn left onto Arthur Street, Distance: 19.1 meters, Time: 13.7 seconds
Name: Arthur Street, Instruction: Enter the roundabout and take the 2nd exit onto Arthur Street, Distance: 217.0 meters, Time: 156.2 seconds
Name: Alfred Street, Instruction: Turn right onto Alfred Street, Distance: 81.1 meters, Time: 58.4 seconds
Name: Grotto Street, Instruction: Turn left onto Grotto Street, Distance: 521.7 meters, Time: 375.6 seconds
Name: Captain Springs Road, Instruction: Turn right onto Captain Springs Road, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 77.3 meters, Time: 55.7 seconds
Name: -, Instruction: Turn left, Distance: 363.8 meters, Time: 261.9 seconds
Name: -, Instruction: Turn right, Distance: 97.4 meters, Time: 70.2 seconds
Name: -, Instruction: Turn right, Distance: 95.2 meters, Time: 68.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
