Name: Bedok North Street 3, Instruction: Head east on Bedok North Street 3, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 128.0 meters, Time: 92.1 seconds
Name: -, Instruction: Continue straight, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Keep left, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Bedok North Avenue 1, Instruction: Turn right onto Bedok North Avenue 1, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 92.0 meters, Time: 66.2 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn slight left, Distance: 422.6 meters, Time: 304.3 seconds
Name: -, Instruction: Keep right, Distance: 253.2 meters, Time: 182.3 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 170.0 meters, Time: 122.4 seconds
Name: -, Instruction: Turn left, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 139.4 meters, Time: 100.3 seconds
Name: -, Instruction: Turn left, Distance: 113.5 meters, Time: 81.7 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
