Name: Park Vista, Instruction: Head east on Park Vista, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 38.4 meters, Time: 27.7 seconds
Name: Taylor Creek Trail, Instruction: Turn left onto Taylor Creek Trail, Distance: 190.7 meters, Time: 137.3 seconds
Name: Taylor Creek Trail, Instruction: Keep right onto Taylor Creek Trail, Distance: 166.4 meters, Time: 119.8 seconds
Name: -, Instruction: Continue straight, Distance: 69.2 meters, Time: 49.9 seconds
Name: -, Instruction: Turn right, Distance: 151.9 meters, Time: 109.3 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 226.1 meters, Time: 162.8 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 439.6 meters, Time: 316.5 seconds
Name: -, Instruction: Turn left, Distance: 153.1 meters, Time: 110.2 seconds
Name: -, Instruction: Turn slight right, Distance: 11.2 meters, Time: 8.0 seconds
Name: Teesdale Place, Instruction: Turn left onto Teesdale Place, Distance: 99.1 meters, Time: 71.4 seconds
Name: Teesdale Place, Instruction: Turn slight right onto Teesdale Place, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Arrive at your destination, on the right, Distance: 0.0 meters, Time: 0.0 seconds
