Name: McCormack Street, Instruction: Head east on McCormack Street, Distance: 101.2 meters, Time: 72.9 seconds
Name: -, Instruction: Turn right, Distance: 175.1 meters, Time: 126.0 seconds
Name: -, Instruction: Keep left, Distance: 742.4 meters, Time: 534.5 seconds
Name: -, Instruction: Keep left, Distance: 399.7 meters, Time: 287.8 seconds
Name: -, Instruction: Keep left, Distance: 157.5 meters, Time: 113.4 seconds
Name: -, Instruction: Keep right, Distance: 170.0 meters, Time: 122.4 seconds
Name: -, Instruction: Turn slight right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn slight left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Keep right, Distance: 216.3 meters, Time: 155.7 seconds
Name: -, Instruction: Keep right, Distance: 424.8 meters, Time: 305.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
