Name: Rua Prudente de Morais, Instruction: Head east on Rua Prudente de Morais, Distance: 55.3 meters, Time: 39.8 seconds
Name: Rua Vinícius de Moraes, Instruction: Turn right onto Rua Vinícius de Moraes, Distance: 116.7 meters, Time: 84.0 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 716.4 meters, Time: 515.8 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 167.6 meters, Time: 120.7 seconds
Name: -, Instruction: Turn right, Distance: 236.5 meters, Time: 170.3 seconds
Name: Avenida Francisco Bhering, Instruction: Turn slight right onto Avenida Francisco Bhering, Distance: 152.6 meters, Time: 109.8 seconds
Name: -, Instruction: Turn right, Distance: 86.9 meters, Time: 62.6 seconds
Name: -, Instruction: Turn slight left, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
