Name: Sabana Place, Instruction: Head south on Sabana Place, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 73.4 meters, Time: 52.8 seconds
Name: -, Instruction: Turn right, Distance: 84.5 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn slight left, Distance: 251.2 meters, Time: 180.9 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 550.0 meters, Time: 396.0 seconds
Name: -, Instruction: Keep right, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 47.0 meters, Time: 33.9 seconds
Name: -, Instruction: Keep left, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Keep left, Distance: 175.3 meters, Time: 126.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
