Name: Gazzard Street, Instruction: Head west on Gazzard Street, Distance: 221.3 meters, Time: 159.3 seconds
Name: Hill Road, Instruction: Turn right onto Hill Road, Distance: 261.6 meters, Time: 188.4 seconds
Name: Rodd Street, Instruction: Turn left onto Rodd Street, Distance: 206.3 meters, Time: 148.5 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 37.5 meters, Time: 27.0 seconds
Name: Rodd Street, Instruction: Turn left onto Rodd Street, Distance: 189.4 meters, Time: 136.4 seconds
Name: -, Instruction: Turn right, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn slight right, Distance: 196.6 meters, Time: 141.5 seconds
Name: -, Instruction: Turn slight right, Distance: 684.9 meters, Time: 493.1 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: Rodd Street, Instruction: Turn right onto Rodd Street, Distance: 12.2 meters, Time: 8.8 seconds
Name: Hector Street, Instruction: Turn left onto Hector Street, Distance: 25.6 meters, Time: 18.4 seconds
Name: Jocelyn Street, Instruction: Turn right onto Jocelyn Street, Distance: 567.7 meters, Time: 408.8 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
