Name: Rue Péguy, Instruction: Head northeast on Rue Péguy, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 56.7 meters, Time: 40.8 seconds
Name: Rue Vavin, Instruction: Turn left onto Rue Vavin, Distance: 231.9 meters, Time: 167.0 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 150.6 meters, Time: 108.5 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: Rue Vavin, Instruction: Turn right onto Rue Vavin, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Turn slight left, Distance: 37.7 meters, Time: 27.1 seconds
Name: -, Instruction: Keep left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn slight right, Distance: 239.5 meters, Time: 172.4 seconds
Name: -, Instruction: Keep right, Distance: 48.1 meters, Time: 34.7 seconds
Name: -, Instruction: Turn slight left, Distance: 53.5 meters, Time: 38.5 seconds
Name: -, Instruction: Turn slight left, Distance: 138.9 meters, Time: 100.0 seconds
Name: -, Instruction: Turn left, Distance: 69.9 meters, Time: 50.4 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: Boulevard Saint-Michel, Instruction: Turn left onto Boulevard Saint-Michel, Distance: 5.0 meters, Time: 3.6 seconds
Name: Boulevard Saint-Michel, Instruction: Continue straight onto Boulevard Saint-Michel, Distance: 116.9 meters, Time: 84.2 seconds
Name: Rue Monsieur le Prince, Instruction: Turn sharp right onto Rue Monsieur le Prince, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Arrive at Rue Monsieur le Prince, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
