Name: Felgrove Street, Instruction: Head southeast on Felgrove Street, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Turn left, Distance: 258.1 meters, Time: 185.8 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: Phelps Place, Instruction: Turn right onto Phelps Place, Distance: 111.6 meters, Time: 80.4 seconds
Name: Hepburn Road, Instruction: Turn right onto Hepburn Road, Distance: 131.5 meters, Time: 94.7 seconds
Name: Addison Drive, Instruction: Turn left onto Addison Drive, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Keep left, Distance: 390.1 meters, Time: 280.9 seconds
Name: -, Instruction: Turn left, Distance: 159.1 meters, Time: 114.6 seconds
Name: Harmel Road, Instruction: Turn right onto Harmel Road, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
