Name: Privada Guillermo Prieto, Instruction: Head south on Privada Guillermo Prieto, Distance: 71.3 meters, Time: 51.3 seconds
Name: Calle Guillermo Prieto, Instruction: Turn right onto Calle Guillermo Prieto, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Turn left, Distance: 136.6 meters, Time: 98.4 seconds
Name: -, Instruction: Turn left, Distance: 47.7 meters, Time: 34.4 seconds
Name: -, Instruction: Turn right, Distance: 90.5 meters, Time: 65.2 seconds
Name: Avenida México, Instruction: Turn left onto Avenida México, Distance: 169.5 meters, Time: 122.1 seconds
Name: Avenida México, Instruction: Continue straight onto Avenida México, Distance: 287.4 meters, Time: 206.9 seconds
Name: Prolongación Lerdo, Instruction: Turn left onto Prolongación Lerdo, Distance: 83.6 meters, Time: 60.2 seconds
Name: Avenida Veracruz, Instruction: Turn right onto Avenida Veracruz, Distance: 371.8 meters, Time: 267.7 seconds
Name: Avenida Veracruz, Instruction: Keep left onto Avenida Veracruz, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
