Name: Rue Sainte-Claire Deville, Instruction: Head southwest on Rue Sainte-Claire Deville, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 64.0 meters, Time: 46.1 seconds
Name: Rue Charles Nicolle, Instruction: Turn right onto Rue Charles Nicolle, Distance: 15.0 meters, Time: 10.8 seconds
Name: Rue Charles Nicolle, Instruction: Turn left onto Rue Charles Nicolle, Distance: 106.7 meters, Time: 76.8 seconds
Name: Rue de Charenton, Instruction: Turn right onto Rue de Charenton, Distance: 38.1 meters, Time: 27.5 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 154.0 meters, Time: 110.9 seconds
Name: -, Instruction: Keep left, Distance: 86.9 meters, Time: 62.6 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: Rue de Rambouillet, Instruction: Turn left onto Rue de Rambouillet, Distance: 16.5 meters, Time: 11.9 seconds
Name: Rue du Charolais, Instruction: Turn left onto Rue du Charolais, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep left, Distance: 423.7 meters, Time: 305.1 seconds
Name: -, Instruction: Turn left, Distance: 247.1 meters, Time: 177.9 seconds
Name: -, Instruction: Turn right, Distance: 64.2 meters, Time: 46.2 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Keep left, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Keep left, Distance: 142.2 meters, Time: 102.4 seconds
Name: -, Instruction: Keep right, Distance: 94.6 meters, Time: 68.1 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 50.2 meters, Time: 36.1 seconds
Name: -, Instruction: Turn left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
