Name: Trevor Housley Avenue, Instruction: Head north on Trevor Housley Avenue, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn slight left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 57.7 meters, Time: 41.6 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 78.4 meters, Time: 56.5 seconds
Name: -, Instruction: Turn slight right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.2 seconds
Name: Charles Smith Avenue, Instruction: Turn right onto Charles Smith Avenue, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 144.3 meters, Time: 103.9 seconds
Name: -, Instruction: Turn right, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.7 seconds
Name: Steeltrap Drive, Instruction: Turn left onto Steeltrap Drive, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn left, Distance: 42.3 meters, Time: 30.5 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Hopkins Street, Instruction: Turn left onto Hopkins Street, Distance: 28.1 meters, Time: 20.3 seconds
Name: -, Instruction: Arrive at Hopkins Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
