Name: Avenue du Général Sarrail, Instruction: Head north on Avenue du Général Sarrail, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Turn right, Distance: 117.7 meters, Time: 84.7 seconds
Name: -, Instruction: Turn left, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 145.3 meters, Time: 104.6 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 88.0 meters, Time: 63.4 seconds
Name: -, Instruction: Turn slight left, Distance: 347.2 meters, Time: 250.0 seconds
Name: -, Instruction: Keep right, Distance: 10.4 meters, Time: 7.5 seconds
Name: Rue Michel-Ange, Instruction: Turn left onto Rue Michel-Ange, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 79.7 meters, Time: 57.3 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn slight right, Distance: 77.4 meters, Time: 55.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Turn slight right, Distance: 162.2 meters, Time: 116.8 seconds
Name: -, Instruction: Turn right, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 164.3 meters, Time: 118.3 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn slight left, Distance: 152.6 meters, Time: 109.9 seconds
Name: -, Instruction: Turn slight right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 75.4 meters, Time: 54.3 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 101.2 meters, Time: 72.9 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 172.6 meters, Time: 124.3 seconds
Name: -, Instruction: Turn slight left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Keep right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 79.2 meters, Time: 57.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
