Name: Grillparzerstraße, Instruction: Head southeast on Grillparzerstraße, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn left, Distance: 53.7 meters, Time: 38.7 seconds
Name: -, Instruction: Continue straight, Distance: 375.3 meters, Time: 270.2 seconds
Name: Leuchtenbergring, Instruction: Turn right onto Leuchtenbergring, Distance: 418.0 meters, Time: 300.9 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 514.7 meters, Time: 370.6 seconds
Name: -, Instruction: Turn left, Distance: 89.4 meters, Time: 64.4 seconds
Name: -, Instruction: Turn left, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 211.2 meters, Time: 152.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
