Name: Garfield Street, Instruction: Head west on Garfield Street, Distance: 409.8 meters, Time: 295.1 seconds
Name: Parnell Rise, Instruction: Turn left onto Parnell Rise, Distance: 5.4 meters, Time: 3.9 seconds
Name: Parnell Rise, Instruction: Keep right onto Parnell Rise, Distance: 151.8 meters, Time: 109.3 seconds
Name: The Strand, SH 16, Instruction: Turn right onto The Strand, SH 16, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Keep right, Distance: 186.4 meters, Time: 134.2 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn slight left, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Keep left, Distance: 157.6 meters, Time: 113.4 seconds
Name: -, Instruction: Turn slight right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 150.8 meters, Time: 108.6 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Turn right, Distance: 28.0 meters, Time: 20.1 seconds
Name: -, Instruction: Keep right, Distance: 76.3 meters, Time: 55.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 27.6 meters, Time: 19.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
