Name: Avenue du Docteur Brouardel, Instruction: Head north on Avenue du Docteur Brouardel, Distance: 73.7 meters, Time: 53.1 seconds
Name: Allée Thomy Thierry, Instruction: Turn left onto Allée Thomy Thierry, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 64.8 meters, Time: 46.7 seconds
Name: -, Instruction: Turn slight right, Distance: 56.7 meters, Time: 40.8 seconds
Name: Avenue Anatole France, Instruction: Turn left onto Avenue Anatole France, Distance: 9.0 meters, Time: 6.5 seconds
Name: Avenue Gustave Eiffel, Instruction: Turn right onto Avenue Gustave Eiffel, Distance: 97.1 meters, Time: 69.9 seconds
Name: Allée Jean Paulhan, Instruction: Turn left onto Allée Jean Paulhan, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Keep right, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: Rue de l'Université, Instruction: Continue straight onto Rue de l'Université, Distance: 163.0 meters, Time: 117.3 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
