Name: Haarlem Road, Instruction: Head east on Haarlem Road, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Turn left, Distance: 155.0 meters, Time: 111.6 seconds
Name: -, Instruction: Turn right, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 135.3 meters, Time: 97.4 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Keep right, Distance: 65.5 meters, Time: 47.2 seconds
Name: -, Instruction: Keep left, Distance: 49.1 meters, Time: 35.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 43.1 meters, Time: 31.0 seconds
Name: Vasco Boulevard, M26, Instruction: Turn right onto Vasco Boulevard, M26, Distance: 401.1 meters, Time: 288.8 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: Montague Road, Instruction: Turn right onto Montague Road, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn left, Distance: 115.1 meters, Time: 82.9 seconds
Name: Monte Vista Boulevard, Instruction: Turn slight left onto Monte Vista Boulevard, Distance: 23.6 meters, Time: 17.0 seconds
Name: Montague Road, Instruction: Turn right onto Montague Road, Distance: 205.6 meters, Time: 148.0 seconds
Name: -, Instruction: Arrive at Montague Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
