Name: Bruce Ferguson Avenue, Instruction: Head north on Bruce Ferguson Avenue, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 87.3 meters, Time: 62.9 seconds
Name: -, Instruction: Turn slight left, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Paul Cullen Drive, Instruction: Turn left onto Paul Cullen Drive, Distance: 196.0 meters, Time: 141.1 seconds
Name: Vevi Street, Instruction: Turn right onto Vevi Street, Distance: 151.8 meters, Time: 109.3 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 73.4 meters, Time: 52.8 seconds
Name: -, Instruction: Turn slight right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 76.5 meters, Time: 55.1 seconds
Name: -, Instruction: Turn slight left, Distance: 101.2 meters, Time: 72.8 seconds
Name: Bardia Avenue, Instruction: Turn right onto Bardia Avenue, Distance: 12.6 meters, Time: 9.0 seconds
Name: Zouch Road, Instruction: Turn right onto Zouch Road, Distance: 250.0 meters, Time: 180.0 seconds
Name: Zouch Road, Instruction: Turn right onto Zouch Road, Distance: 29.8 meters, Time: 21.4 seconds
Name: Zouch Road, Instruction: Continue straight onto Zouch Road, Distance: 143.0 meters, Time: 103.0 seconds
Name: -, Instruction: Arrive at Zouch Road, on the right, Distance: 0.0 meters, Time: 0.0 seconds
