Name: Newland Court, Instruction: Head east on Newland Court, Distance: 236.3 meters, Time: 170.1 seconds
Name: Barn Rise, Instruction: Turn left onto Barn Rise, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 135.7 meters, Time: 97.7 seconds
Name: Barn Hill, Instruction: Turn sharp right onto Barn Hill, Distance: 44.8 meters, Time: 32.3 seconds
Name: Bridge Road, A4089, Instruction: Continue straight onto Bridge Road, A4089, Distance: 75.1 meters, Time: 54.1 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 92.1 meters, Time: 66.3 seconds
Name: Chalkhill Road, Instruction: Turn left onto Chalkhill Road, Distance: 434.9 meters, Time: 313.1 seconds
Name: Chalkhill Road, Instruction: Turn slight right onto Chalkhill Road, Distance: 530.8 meters, Time: 382.2 seconds
Name: Ken Way, Instruction: Turn right onto Ken Way, Distance: 202.3 meters, Time: 145.6 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn right, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 418.3 meters, Time: 301.1 seconds
Name: -, Instruction: Turn slight right, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Keep right, Distance: 7.8 meters, Time: 5.6 seconds
Name: Aboyne Road, Instruction: Turn left onto Aboyne Road, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
