Name: Oedkarspitzstraße, Instruction: Head west on Oedkarspitzstraße, Distance: 72.6 meters, Time: 52.2 seconds
Name: Aschheimer Straße, Instruction: Turn left onto Aschheimer Straße, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 32.3 meters, Time: 23.3 seconds
Name: Melusinenstraße, Instruction: Turn right onto Melusinenstraße, Distance: 5.2 meters, Time: 3.7 seconds
Name: Melusinenstraße, Instruction: Keep right onto Melusinenstraße, Distance: 351.1 meters, Time: 252.8 seconds
Name: -, Instruction: Turn right, Distance: 35.7 meters, Time: 25.7 seconds
Name: Claudius-Keller-Straße, Instruction: Turn right onto Claudius-Keller-Straße, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 123.7 meters, Time: 89.0 seconds
Name: -, Instruction: Turn left, Distance: 173.3 meters, Time: 124.8 seconds
Name: -, Instruction: Turn right, Distance: 50.2 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: Wilramstraße, Instruction: Turn left onto Wilramstraße, Distance: 8.9 meters, Time: 6.4 seconds
Name: Hohenaschauer Straße, Instruction: Turn right onto Hohenaschauer Straße, Distance: 80.9 meters, Time: 58.2 seconds
Name: -, Instruction: Turn left, Distance: 43.7 meters, Time: 31.4 seconds
Name: -, Instruction: Turn slight right, Distance: 57.7 meters, Time: 41.6 seconds
Name: -, Instruction: Turn left, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Turn right, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
