Name: Brunswick Square, Instruction: Head west on Brunswick Square, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Turn right, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 78.1 meters, Time: 56.2 seconds
Name: -, Instruction: Turn right, Distance: 66.7 meters, Time: 48.0 seconds
Name: -, Instruction: Turn left, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn slight right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 84.9 meters, Time: 61.1 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight right, Distance: 71.6 meters, Time: 51.6 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 241.6 meters, Time: 174.0 seconds
Name: -, Instruction: Continue straight, Distance: 82.9 meters, Time: 59.7 seconds
Name: Gower Street, Instruction: Turn right onto Gower Street, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: Gower Street, Instruction: Turn right onto Gower Street, Distance: 189.1 meters, Time: 136.1 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Turn right, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn left, Distance: 98.6 meters, Time: 71.0 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 156.5 meters, Time: 112.7 seconds
Name: Fitzroy Square, Instruction: Turn right onto Fitzroy Square, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn left, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
