Name: Pasinger Marienplatz, Instruction: Head east on Pasinger Marienplatz, Distance: 50.6 meters, Time: 36.4 seconds
Name: Landsberger Straße, Instruction: Continue straight onto Landsberger Straße, Distance: 116.4 meters, Time: 83.8 seconds
Name: -, Instruction: Keep right, Distance: 155.3 meters, Time: 111.8 seconds
Name: -, Instruction: Keep left, Distance: 145.9 meters, Time: 105.1 seconds
Name: Rathausgasse, Instruction: Turn right onto Rathausgasse, Distance: 40.5 meters, Time: 29.2 seconds
Name: Pasinger Promenade, Instruction: Turn slight left onto Pasinger Promenade, Distance: 18.9 meters, Time: 13.6 seconds
Name: Pasinger Promenade, Instruction: Turn slight right onto Pasinger Promenade, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 279.9 meters, Time: 201.5 seconds
Name: -, Instruction: Turn right, Distance: 611.8 meters, Time: 440.5 seconds
Name: Paul-Gerhardt-Allee, Instruction: Keep right onto Paul-Gerhardt-Allee, Distance: 19.9 meters, Time: 14.3 seconds
Name: Hermine-von-Parish-Straße, Instruction: Enter the roundabout and take the 1st exit onto Hermine-von-Parish-Straße, Distance: 456.4 meters, Time: 328.6 seconds
Name: -, Instruction: Turn right, Distance: 191.3 meters, Time: 137.8 seconds
Name: -, Instruction: Turn right, Distance: 28.5 meters, Time: 20.5 seconds
Name: Angela-von-den-Driesch-Weg, Instruction: Turn left onto Angela-von-den-Driesch-Weg, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Arrive at Angela-von-den-Driesch-Weg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
