Name: Merrylands Road, Instruction: Head east on Merrylands Road, Distance: 61.8 meters, Time: 44.5 seconds
Name: Clarence Street, Instruction: Turn left onto Clarence Street, Distance: 619.8 meters, Time: 446.2 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 311.2 meters, Time: 224.0 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Clarence Street, Instruction: Turn right onto Clarence Street, Distance: 90.3 meters, Time: 65.0 seconds
Name: Burnett Street, Instruction: Turn right onto Burnett Street, Distance: 60.6 meters, Time: 43.7 seconds
Name: Rita Street, Instruction: Turn left onto Rita Street, Distance: 384.7 meters, Time: 277.0 seconds
Name: -, Instruction: Turn right, Distance: 111.0 meters, Time: 79.9 seconds
Name: -, Instruction: Continue straight, Distance: 6.3 meters, Time: 4.5 seconds
Name: Peggy Street, Instruction: Turn left onto Peggy Street, Distance: 223.1 meters, Time: 160.6 seconds
Name: -, Instruction: Arrive at Peggy Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
