Name: Murphys Road, Instruction: Head north on Murphys Road, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 133.7 meters, Time: 96.2 seconds
Name: -, Instruction: Turn right, Distance: 32.3 meters, Time: 23.3 seconds
Name: Cranford Drive, Instruction: Turn left onto Cranford Drive, Distance: 132.5 meters, Time: 95.4 seconds
Name: Hughs Way, Instruction: Turn right onto Hughs Way, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Turn left, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: Drumbuoy Drive, Instruction: Turn left onto Drumbuoy Drive, Distance: 342.7 meters, Time: 246.7 seconds
Name: Barnesmore Road, Instruction: Turn right onto Barnesmore Road, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 121.4 meters, Time: 87.4 seconds
Name: -, Instruction: Turn slight left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
