Name: Eastwood Road, Instruction: Head east on Eastwood Road, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 103.0 meters, Time: 74.1 seconds
Name: -, Instruction: Keep right, Distance: 316.2 meters, Time: 227.7 seconds
Name: -, Instruction: Turn slight left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 404.1 meters, Time: 290.9 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 318.2 meters, Time: 229.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 90.2 meters, Time: 65.0 seconds
Name: -, Instruction: Keep right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
