Name: Parzivalplatz, Instruction: Head west on Parzivalplatz, Distance: 20.6 meters, Time: 14.8 seconds
Name: Belgradstraße, Instruction: Turn right onto Belgradstraße, Distance: 99.6 meters, Time: 71.7 seconds
Name: Belgradstraße, Instruction: Continue straight onto Belgradstraße, Distance: 778.0 meters, Time: 560.2 seconds
Name: Petuelring, Instruction: Turn sharp left onto Petuelring, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 153.8 meters, Time: 110.7 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: Nietzschestraße, Instruction: Turn right onto Nietzschestraße, Distance: 295.5 meters, Time: 212.8 seconds
Name: Keferloherstraße, Instruction: Turn left onto Keferloherstraße, Distance: 11.2 meters, Time: 8.1 seconds
Name: Schleißheimer Straße, Instruction: Turn sharp right onto Schleißheimer Straße, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
