Name: حارة صلاح محمود طماعه, Instruction: Head north on حارة صلاح محمود طماعه, Distance: 20.5 meters, Time: 14.8 seconds
Name: شارع الشهيد عبد المنعم رياض, Instruction: Turn right onto شارع الشهيد عبد المنعم رياض, Distance: 19.4 meters, Time: 14.0 seconds
Name: شارع احمد أبو جسار, Instruction: Turn left onto شارع احمد أبو جسار, Distance: 174.9 meters, Time: 125.9 seconds
Name: شارع عيد يونس, Instruction: Turn right onto شارع عيد يونس, Distance: 87.4 meters, Time: 62.9 seconds
Name: شارع الزهور, Instruction: Turn left onto شارع الزهور, Distance: 21.5 meters, Time: 15.5 seconds
Name: شارع مسجد نور الاسلام, Instruction: Turn right onto شارع مسجد نور الاسلام, Distance: 28.4 meters, Time: 20.5 seconds
Name: شارع المساكن, Instruction: Turn slight right onto شارع المساكن, Distance: 37.7 meters, Time: 27.1 seconds
Name: شارع المساكن, Instruction: Continue straight onto شارع المساكن, Distance: 15.8 meters, Time: 11.4 seconds
Name: شارع الجامعه, Instruction: Keep left onto شارع الجامعه, Distance: 88.6 meters, Time: 63.8 seconds
Name: -, Instruction: Turn right, Distance: 21.8 meters, Time: 15.7 seconds
Name: شارع المساكن, Instruction: Turn left onto شارع المساكن, Distance: 140.8 meters, Time: 101.4 seconds
Name: -, Instruction: Turn right, Distance: 94.0 meters, Time: 67.7 seconds
Name: شارع محمد حماد, Instruction: Turn left onto شارع محمد حماد, Distance: 510.4 meters, Time: 367.5 seconds
Name: شارع ابراهيم الازهرى, Instruction: Turn right onto شارع ابراهيم الازهرى, Distance: 257.8 meters, Time: 185.6 seconds
Name: شارع ابراهيم الازهرى, Instruction: Keep right onto شارع ابراهيم الازهرى, Distance: 81.1 meters, Time: 58.4 seconds
Name: شارع منصور, Instruction: Turn sharp left onto شارع منصور, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: شارع منصور, Instruction: Turn left onto شارع منصور, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Keep right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Keep left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
