Name: Swan Lane, Instruction: Head southwest on Swan Lane, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight right, Distance: 527.9 meters, Time: 380.1 seconds
Name: -, Instruction: Keep right, Distance: 304.7 meters, Time: 219.4 seconds
Name: -, Instruction: Turn right, Distance: 178.2 meters, Time: 128.3 seconds
Name: -, Instruction: Keep left, Distance: 161.4 meters, Time: 116.2 seconds
Name: -, Instruction: Keep left, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: Waipareira Avenue, Instruction: Turn left onto Waipareira Avenue, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 93.0 meters, Time: 67.0 seconds
Name: -, Instruction: Keep right, Distance: 158.8 meters, Time: 114.4 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Moselle Avenue, Instruction: Turn right onto Moselle Avenue, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Turn left, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
