Name: Quainton Street, Instruction: Head southwest on Quainton Street, Distance: 168.8 meters, Time: 121.5 seconds
Name: Lawrence Way, Instruction: Turn right onto Lawrence Way, Distance: 94.6 meters, Time: 68.1 seconds
Name: Cambridge Close, Instruction: Turn right onto Cambridge Close, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn right, Distance: 46.3 meters, Time: 33.3 seconds
Name: -, Instruction: Turn left, Distance: 203.6 meters, Time: 146.6 seconds
Name: Saint Davids Close, Instruction: Turn right onto Saint Davids Close, Distance: 64.6 meters, Time: 46.5 seconds
Name: Barnhill Road, Instruction: Turn left onto Barnhill Road, Distance: 272.0 meters, Time: 195.8 seconds
Name: -, Instruction: Turn left, Distance: 68.8 meters, Time: 49.6 seconds
Name: Bowater Road, Instruction: Continue straight onto Bowater Road, Distance: 87.4 meters, Time: 62.9 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Keep left, Distance: 125.8 meters, Time: 90.6 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
