Name: Passage Verdeau, Instruction: Head southwest on Passage Verdeau, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 95.6 meters, Time: 68.8 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn slight left, Distance: 144.4 meters, Time: 104.0 seconds
Name: -, Instruction: Turn left, Distance: 373.7 meters, Time: 269.0 seconds
Name: -, Instruction: Keep right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Keep right, Distance: 1.7 meters, Time: 1.2 seconds
Name: Rue de la Lune, Instruction: Turn left onto Rue de la Lune, Distance: 63.4 meters, Time: 45.6 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 86.5 meters, Time: 62.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
