Name: Rue Papillon, Instruction: Head southeast on Rue Papillon, Distance: 10.8 meters, Time: 7.8 seconds
Name: Rue Bleue, Instruction: Turn slight left onto Rue Bleue, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 187.6 meters, Time: 135.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 222.1 meters, Time: 159.9 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 129.4 meters, Time: 93.2 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 144.6 meters, Time: 104.1 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: Rue Poissonnière, Instruction: Turn sharp right onto Rue Poissonnière, Distance: 91.4 meters, Time: 65.8 seconds
Name: Rue des Petits Carreaux, Instruction: Continue straight onto Rue des Petits Carreaux, Distance: 34.1 meters, Time: 24.5 seconds
Name: Rue des Petits Carreaux, Instruction: Continue straight onto Rue des Petits Carreaux, Distance: 31.0 meters, Time: 22.3 seconds
Name: Rue des Petits Carreaux, Instruction: Keep left onto Rue des Petits Carreaux, Distance: 519.2 meters, Time: 373.8 seconds
Name: Rue de Turbigo, Instruction: Turn right onto Rue de Turbigo, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.3 meters, Time: 1.7 seconds
Name: Rue Montorgueil, Instruction: Turn sharp left onto Rue Montorgueil, Distance: 14.7 meters, Time: 10.6 seconds
Name: Rue Rambuteau, Instruction: Turn left onto Rue Rambuteau, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 157.2 meters, Time: 113.2 seconds
Name: Rue Berger, Instruction: Turn left onto Rue Berger, Distance: 36.7 meters, Time: 26.5 seconds
Name: Passage des Lingères, Instruction: Turn right onto Passage des Lingères, Distance: 68.3 meters, Time: 49.2 seconds
Name: Place Marguerite de Navarre, Instruction: Turn left onto Place Marguerite de Navarre, Distance: 11.9 meters, Time: 8.6 seconds
Name: Place Marguerite de Navarre, Instruction: Turn right onto Place Marguerite de Navarre, Distance: 65.2 meters, Time: 46.9 seconds
Name: Rue de la Lingerie, Instruction: Turn right onto Rue de la Lingerie, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Continue straight, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 81.2 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Rue des Lavandières Sainte-Opportune, Instruction: Turn right onto Rue des Lavandières Sainte-Opportune, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
