Name: Avenue Foch, Instruction: Head east on Avenue Foch, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: Rue Le Sueur, Instruction: Continue straight onto Rue Le Sueur, Distance: 24.0 meters, Time: 17.3 seconds
Name: Rue Le Sueur, Instruction: Continue straight onto Rue Le Sueur, Distance: 256.6 meters, Time: 184.8 seconds
Name: Place du Général Patton, Instruction: Turn slight right onto Place du Général Patton, Distance: 214.2 meters, Time: 154.2 seconds
Name: Rue Brunel, Instruction: Enter the roundabout and take the 4th exit onto Rue Brunel, Distance: 152.1 meters, Time: 109.5 seconds
Name: Rue Labie, Instruction: Turn right onto Rue Labie, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
