Name: Place de la Porte Maillot, Instruction: Head southeast on Place de la Porte Maillot, Distance: 166.3 meters, Time: 119.7 seconds
Name: -, Instruction: Turn left, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn right, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 60.8 meters, Time: 43.7 seconds
Name: -, Instruction: Turn slight right, Distance: 217.6 meters, Time: 156.6 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: Rue Saint-Ferdinand, Instruction: Turn left onto Rue Saint-Ferdinand, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 231.4 meters, Time: 166.6 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn slight right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 186.1 meters, Time: 134.0 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 299.1 meters, Time: 215.3 seconds
Name: -, Instruction: Turn left, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 163.3 meters, Time: 117.6 seconds
Name: -, Instruction: Turn slight right, Distance: 154.1 meters, Time: 111.0 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
