Name: Nereid Road, Instruction: Head southeast on Nereid Road, Distance: 113.8 meters, Time: 81.9 seconds
Name: Robinson Road, Instruction: Turn right onto Robinson Road, Distance: 379.9 meters, Time: 273.5 seconds
Name: Thornflat Road, Instruction: Turn right onto Thornflat Road, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn left, Distance: 591.9 meters, Time: 426.1 seconds
Name: -, Instruction: Turn left, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Keep left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 171.8 meters, Time: 123.7 seconds
Name: -, Instruction: Keep left, Distance: 226.1 meters, Time: 162.8 seconds
Name: -, Instruction: Keep left, Distance: 132.2 meters, Time: 95.2 seconds
Name: -, Instruction: Turn slight left, Distance: 229.8 meters, Time: 165.4 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
