Name: Franz-Mader-Straße, Instruction: Head east on Franz-Mader-Straße, Distance: 148.0 meters, Time: 106.5 seconds
Name: -, Instruction: Continue straight, Distance: 137.2 meters, Time: 98.8 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 218.3 meters, Time: 157.2 seconds
Name: -, Instruction: Keep left, Distance: 290.6 meters, Time: 209.2 seconds
Name: -, Instruction: Turn slight left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Keep right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 467.0 meters, Time: 336.3 seconds
Name: -, Instruction: Continue straight, Distance: 4.2 meters, Time: 3.0 seconds
Name: Paduanostraße, Instruction: Turn left onto Paduanostraße, Distance: 30.2 meters, Time: 21.7 seconds
Name: Nederlinger Platz, Instruction: Turn right onto Nederlinger Platz, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 78.0 meters, Time: 56.1 seconds
Name: -, Instruction: Turn left, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
