Name: Rue de Mézières, Instruction: Head east on Rue de Mézières, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 74.0 meters, Time: 53.2 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: Rue Henry de Jouvenel, Instruction: Turn right onto Rue Henry de Jouvenel, Distance: 34.4 meters, Time: 24.8 seconds
Name: Rue du Canivet, Instruction: Turn left onto Rue du Canivet, Distance: 53.1 meters, Time: 38.2 seconds
Name: Rue Servandoni, Instruction: Turn right onto Rue Servandoni, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn left, Distance: 49.7 meters, Time: 35.8 seconds
Name: -, Instruction: Turn left, Distance: 74.9 meters, Time: 53.9 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn slight left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
