Name: Timmer Road, Instruction: Head south on Timmer Road, Distance: 10.1 meters, Time: 7.3 seconds
Name: Golden Pond Road, Instruction: Turn left onto Golden Pond Road, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 162.0 meters, Time: 116.6 seconds
Name: Horsefields Drive, Instruction: Turn left onto Horsefields Drive, Distance: 160.1 meters, Time: 115.3 seconds
Name: Murphys Shared Path, Instruction: Turn left onto Murphys Shared Path, Distance: 207.5 meters, Time: 149.4 seconds
Name: Murphys Shared Path, Instruction: Continue straight onto Murphys Shared Path, Distance: 37.0 meters, Time: 26.6 seconds
Name: Murphys Road, Instruction: Turn left onto Murphys Road, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 133.7 meters, Time: 96.2 seconds
Name: -, Instruction: Turn right, Distance: 32.3 meters, Time: 23.3 seconds
Name: Cranford Drive, Instruction: Turn left onto Cranford Drive, Distance: 132.5 meters, Time: 95.4 seconds
Name: Hughs Way, Instruction: Turn right onto Hughs Way, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Turn left, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: Drumbuoy Drive, Instruction: Turn left onto Drumbuoy Drive, Distance: 559.1 meters, Time: 402.5 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 288.2 meters, Time: 207.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
