Name: Main Street, Instruction: Head south on Main Street, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 141.2 meters, Time: 101.6 seconds
Name: -, Instruction: Turn slight left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 229.9 meters, Time: 165.5 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Red Hibiscus Road, Instruction: Turn right onto Red Hibiscus Road, Distance: 97.0 meters, Time: 69.9 seconds
Name: Puarangi Lane, Instruction: Turn left onto Puarangi Lane, Distance: 40.0 meters, Time: 28.8 seconds
Name: Puarangi Lane, Instruction: Turn sharp right onto Puarangi Lane, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Arrive at Puarangi Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
