Name: Brooklime Crescent, Instruction: Head northwest on Brooklime Crescent, Distance: 173.7 meters, Time: 125.1 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 47.3 meters, Time: 34.1 seconds
Name: -, Instruction: Turn slight right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Keep left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Keep left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 9.0 seconds
Name: Greenhood Crescent, Instruction: Turn left onto Greenhood Crescent, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 160.7 meters, Time: 115.7 seconds
Name: -, Instruction: Turn slight left, Distance: 63.8 meters, Time: 46.0 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 494.8 meters, Time: 356.2 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Turn right, Distance: 59.5 meters, Time: 42.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
