Name: Markomannenstraße, Instruction: Head northwest on Markomannenstraße, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 338.9 meters, Time: 244.0 seconds
Name: -, Instruction: Keep right, Distance: 218.9 meters, Time: 157.6 seconds
Name: -, Instruction: Keep right, Distance: 240.6 meters, Time: 173.2 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 362.1 meters, Time: 260.7 seconds
Name: -, Instruction: Turn right, Distance: 355.7 meters, Time: 256.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
