Name: Miranda Close, Instruction: Head north on Miranda Close, Distance: 39.9 meters, Time: 28.7 seconds
Name: Sidney Street, Instruction: Turn left onto Sidney Street, Distance: 42.4 meters, Time: 30.5 seconds
Name: Sidney Square, Instruction: Turn left onto Sidney Square, Distance: 40.2 meters, Time: 29.0 seconds
Name: Sidney Square, Instruction: Turn right onto Sidney Square, Distance: 57.4 meters, Time: 41.3 seconds
Name: Clark Street, Instruction: Turn left onto Clark Street, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 49.4 meters, Time: 35.6 seconds
Name: Jubilee Street, Instruction: Turn right onto Jubilee Street, Distance: 42.2 meters, Time: 30.4 seconds
Name: Cornwood Drive, Instruction: Turn left onto Cornwood Drive, Distance: 174.2 meters, Time: 125.4 seconds
Name: -, Instruction: Turn left, Distance: 98.4 meters, Time: 70.8 seconds
Name: Clovelly Way, Instruction: Turn slight right onto Clovelly Way, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 60.9 meters, Time: 43.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
