Name: Passage Saint-Philippe du Roule, Instruction: Head southwest on Passage Saint-Philippe du Roule, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 54.8 meters, Time: 39.4 seconds
Name: -, Instruction: Keep left, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn slight left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 115.3 meters, Time: 83.0 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 161.2 meters, Time: 116.1 seconds
Name: -, Instruction: Keep left, Distance: 245.9 meters, Time: 177.0 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 168.1 meters, Time: 121.0 seconds
Name: -, Instruction: Turn slight left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn right, Distance: 192.9 meters, Time: 138.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rue Théodule Ribot, Instruction: Turn sharp right onto Rue Théodule Ribot, Distance: 33.2 meters, Time: 23.9 seconds
Name: Rue Rennequin, Instruction: Continue straight onto Rue Rennequin, Distance: 581.6 meters, Time: 418.8 seconds
Name: Rue d'Héliopolis, Instruction: Turn slight right onto Rue d'Héliopolis, Distance: 121.7 meters, Time: 87.6 seconds
Name: -, Instruction: Keep left, Distance: 130.9 meters, Time: 94.3 seconds
Name: Rue Descombes, Instruction: Turn right onto Rue Descombes, Distance: 10.2 meters, Time: 7.4 seconds
Name: Boulevard Gouvion-Saint-Cyr, Instruction: Turn sharp left onto Boulevard Gouvion-Saint-Cyr, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: Place de la Porte de Champerret, Instruction: Turn right onto Place de la Porte de Champerret, Distance: 50.7 meters, Time: 36.5 seconds
Name: Place de la Porte de Champerret, Instruction: Turn left onto Place de la Porte de Champerret, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 77.0 meters, Time: 55.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
