Name: Martha Eaton Way, Instruction: Head southwest on Martha Eaton Way, Distance: 20.1 meters, Time: 14.5 seconds
Name: Trethewey Drive, Instruction: Turn left onto Trethewey Drive, Distance: 167.9 meters, Time: 120.9 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 105.9 meters, Time: 76.2 seconds
Name: -, Instruction: Keep left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Keep left, Distance: 189.8 meters, Time: 136.7 seconds
Name: -, Instruction: Keep right, Distance: 9.4 meters, Time: 6.8 seconds
Name: Greenbrook Drive, Instruction: Turn left onto Greenbrook Drive, Distance: 838.1 meters, Time: 603.4 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 221.0 meters, Time: 159.2 seconds
Name: -, Instruction: Turn left, Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
