Name: Nanyang Drive, Instruction: Head south on Nanyang Drive, Distance: 22.3 meters, Time: 16.0 seconds
Name: Lien Ying Chow Drive, Instruction: Enter the roundabout and take the 3rd exit onto Lien Ying Chow Drive, Distance: 158.9 meters, Time: 114.4 seconds
Name: Students Walk, Instruction: Turn right onto Students Walk, Distance: 227.9 meters, Time: 164.1 seconds
Name: Students Walk, Instruction: Keep right onto Students Walk, Distance: 57.5 meters, Time: 41.4 seconds
Name: Nanyang Circle, Instruction: Enter the roundabout and take the 1st exit onto Nanyang Circle, Distance: 402.0 meters, Time: 289.4 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn slight left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn slight right, Distance: 160.1 meters, Time: 115.2 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: Jurong West Street 91, Instruction: Turn left onto Jurong West Street 91, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 249.5 meters, Time: 179.6 seconds
Name: -, Instruction: Turn slight left, Distance: 20.3 meters, Time: 14.6 seconds
Name: Jurong West Street 92, Instruction: Turn right onto Jurong West Street 92, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 168.8 meters, Time: 121.5 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: Jurong West Street 93, Instruction: Turn left onto Jurong West Street 93, Distance: 58.3 meters, Time: 41.9 seconds
Name: Yunnan Crescent, Instruction: Turn right onto Yunnan Crescent, Distance: 287.6 meters, Time: 207.1 seconds
Name: Yunnan Crescent, Instruction: Turn left onto Yunnan Crescent, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
