Name: Boundary Lane, Instruction: Head west on Boundary Lane, Distance: 140.3 meters, Time: 101.0 seconds
Name: Cumberland Street, Instruction: Turn right onto Cumberland Street, Distance: 69.0 meters, Time: 49.7 seconds
Name: Cumberland Street, Instruction: Enter the roundabout and take the 1st exit onto Cumberland Street, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 119.8 meters, Time: 86.3 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 485.2 meters, Time: 349.4 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: Church Street, Instruction: Turn right onto Church Street, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 664.4 meters, Time: 478.4 seconds
Name: Aladore Avenue, Instruction: Turn left onto Aladore Avenue, Distance: 87.3 meters, Time: 62.9 seconds
Name: -, Instruction: Arrive at Aladore Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
