Name: Rue Laforest, Instruction: Head northwest on Rue Laforest, Distance: 22.2 meters, Time: 16.0 seconds
Name: Rue Ledru-Rollin, Instruction: Turn right onto Rue Ledru-Rollin, Distance: 91.9 meters, Time: 66.2 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight right, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 164.6 meters, Time: 118.5 seconds
Name: -, Instruction: Keep left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn left, Distance: 128.1 meters, Time: 92.2 seconds
Name: -, Instruction: Keep right, Distance: 325.9 meters, Time: 234.7 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 161.8 meters, Time: 116.5 seconds
Name: -, Instruction: Turn left, Distance: 136.6 meters, Time: 98.3 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight right, Distance: 103.0 meters, Time: 74.1 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight right, Distance: 312.6 meters, Time: 225.1 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Keep right, Distance: 125.1 meters, Time: 90.1 seconds
Name: -, Instruction: Turn right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight left, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
