Name: Sabana Place, Instruction: Head north on Sabana Place, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: Santiago Crescent, Instruction: Turn left onto Santiago Crescent, Distance: 78.4 meters, Time: 56.5 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight left, Distance: 193.0 meters, Time: 138.9 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 511.8 meters, Time: 368.5 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 65.1 meters, Time: 46.8 seconds
Name: -, Instruction: Turn right, Distance: 206.8 meters, Time: 148.9 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 213.4 meters, Time: 153.7 seconds
Name: -, Instruction: Turn left, Distance: 163.9 meters, Time: 118.0 seconds
Name: -, Instruction: Keep right, Distance: 104.1 meters, Time: 74.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 57.3 meters, Time: 41.2 seconds
Name: -, Instruction: Keep left, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn left, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
