Name: South Elkhart Street, Instruction: Head northeast on South Elkhart Street, Distance: 18.9 meters, Time: 13.6 seconds
Name: South Elkhart Way, Instruction: Turn slight left onto South Elkhart Way, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 329.7 meters, Time: 237.4 seconds
Name: -, Instruction: Turn slight left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 189.0 meters, Time: 136.1 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: South Sable Boulevard, Instruction: Turn left onto South Sable Boulevard, Distance: 36.9 meters, Time: 26.5 seconds
Name: East Arizona Avenue, Instruction: Turn right onto East Arizona Avenue, Distance: 294.1 meters, Time: 211.8 seconds
Name: South Carson Way, Instruction: Turn left onto South Carson Way, Distance: 264.5 meters, Time: 190.4 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
