Name: Bukit Batok West Avenue 4, Instruction: Head northeast on Bukit Batok West Avenue 4, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 519.2 meters, Time: 373.8 seconds
Name: -, Instruction: Keep left, Distance: 211.7 meters, Time: 152.4 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 434.2 meters, Time: 312.6 seconds
Name: -, Instruction: Turn left, Distance: 306.7 meters, Time: 220.8 seconds
Name: -, Instruction: Turn right, Distance: 28.9 meters, Time: 20.8 seconds
Name: Choa Chu Kang Park Connector, Instruction: Turn slight left onto Choa Chu Kang Park Connector, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 380.3 meters, Time: 273.8 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: Choa Chu Kang Avenue 7, Instruction: Turn left onto Choa Chu Kang Avenue 7, Distance: 108.7 meters, Time: 78.3 seconds
Name: Choa Chu Kang Avenue 7, Instruction: Continue straight onto Choa Chu Kang Avenue 7, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Keep left, Distance: 121.0 meters, Time: 87.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 81.3 meters, Time: 58.5 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
