Name: Privada Capirote, Instruction: Head east on Privada Capirote, Distance: 7.0 meters, Time: 5.1 seconds
Name: Calzada Acueducto, Instruction: Turn sharp left onto Calzada Acueducto, Distance: 263.6 meters, Time: 189.8 seconds
Name: Calle San Juan de Dios, Instruction: Turn left onto Calle San Juan de Dios, Distance: 106.8 meters, Time: 76.9 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Keep right, Distance: 443.2 meters, Time: 319.1 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.2 seconds
Name: Calzada de Tlalpan, Instruction: Turn left onto Calzada de Tlalpan, Distance: 519.9 meters, Time: 374.3 seconds
Name: -, Instruction: Turn left, Distance: 81.7 meters, Time: 58.8 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
