Name: Rue Lallier, Instruction: Head south on Rue Lallier, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight left, Distance: 79.8 meters, Time: 57.4 seconds
Name: -, Instruction: Turn left, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn slight right, Distance: 163.9 meters, Time: 118.0 seconds
Name: -, Instruction: Turn right, Distance: 66.3 meters, Time: 47.7 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 327.0 meters, Time: 235.4 seconds
Name: -, Instruction: Turn left, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn left, Distance: 113.1 meters, Time: 81.5 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.2 seconds
Name: Rue de Bruxelles, Instruction: Keep left onto Rue de Bruxelles, Distance: 14.2 meters, Time: 10.2 seconds
Name: Rue de Douai, Instruction: Keep right onto Rue de Douai, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 92.5 meters, Time: 66.6 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn left, Distance: 73.4 meters, Time: 52.8 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 165.5 meters, Time: 119.2 seconds
Name: -, Instruction: Keep right, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 127.5 meters, Time: 91.8 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: Rue Lemercier, Instruction: Turn left onto Rue Lemercier, Distance: 682.8 meters, Time: 491.6 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Allée Louise Pétron, Instruction: Turn right onto Allée Louise Pétron, Distance: 208.5 meters, Time: 150.1 seconds
Name: -, Instruction: Arrive at Allée Louise Pétron, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
