Name: Alfred Street, Instruction: Head south on Alfred Street, Distance: 45.0 meters, Time: 32.4 seconds
Name: Read Lane, Instruction: Turn right onto Read Lane, Distance: 7.2 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 209.3 meters, Time: 150.7 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 315.0 meters, Time: 226.8 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: Murray Street, Instruction: Turn right onto Murray Street, Distance: 33.3 meters, Time: 24.0 seconds
Name: Gibson Street, Instruction: Turn right onto Gibson Street, Distance: 124.2 meters, Time: 89.5 seconds
Name: Brown Street, Instruction: Turn right onto Brown Street, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 69.4 meters, Time: 50.0 seconds
Name: Gibson Street, Instruction: Turn slight right onto Gibson Street, Distance: 87.8 meters, Time: 63.2 seconds
Name: Henrietta Street, Instruction: Turn right onto Henrietta Street, Distance: 68.0 meters, Time: 49.0 seconds
Name: -, Instruction: Turn left, Distance: 52.8 meters, Time: 38.0 seconds
Name: Prospect Street, Instruction: Turn right onto Prospect Street, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 253.6 meters, Time: 182.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
