Name: Holland Grove View, Instruction: Head northeast on Holland Grove View, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 53.3 meters, Time: 38.3 seconds
Name: -, Instruction: Turn left, Distance: 189.8 meters, Time: 136.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: Ghim Moh Road, Instruction: Turn right onto Ghim Moh Road, Distance: 55.6 meters, Time: 40.0 seconds
Name: Ghim Moh Road, Instruction: Keep left onto Ghim Moh Road, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 178.7 meters, Time: 128.7 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 133.8 meters, Time: 96.3 seconds
Name: -, Instruction: Turn right, Distance: 141.7 meters, Time: 102.0 seconds
Name: East Sussex Lane, Instruction: Turn sharp left onto East Sussex Lane, Distance: 137.7 meters, Time: 99.2 seconds
Name: -, Instruction: Turn right, Distance: 285.2 meters, Time: 205.3 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn right, Distance: 134.4 meters, Time: 96.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
