Name: Coach Drive, Instruction: Head southeast on Coach Drive, Distance: 192.1 meters, Time: 138.3 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 55.5 meters, Time: 39.9 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn slight left, Distance: 136.7 meters, Time: 98.4 seconds
Name: -, Instruction: Turn left, Distance: 104.2 meters, Time: 75.0 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 138.9 meters, Time: 100.0 seconds
Name: The Avenue, Instruction: Turn right onto The Avenue, Distance: 291.2 meters, Time: 209.7 seconds
Name: Heathcote Road, Instruction: Turn right onto Heathcote Road, Distance: 409.0 meters, Time: 294.5 seconds
Name: Heathcote Road, Instruction: Continue straight onto Heathcote Road, Distance: 130.8 meters, Time: 94.2 seconds
Name: -, Instruction: Keep right, Distance: 110.5 meters, Time: 79.6 seconds
Name: Heathcote Road, Instruction: Turn slight right onto Heathcote Road, Distance: 646.3 meters, Time: 465.3 seconds
Name: MacArthur Drive, Instruction: Turn sharp left onto MacArthur Drive, Distance: 154.2 meters, Time: 111.0 seconds
Name: -, Instruction: Enter the roundabout and take the UNKNOWN exit, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
