Name: Cité Germain Pilon, Instruction: Head east on Cité Germain Pilon, Distance: 74.8 meters, Time: 53.9 seconds
Name: -, Instruction: Turn right, Distance: 133.0 meters, Time: 95.8 seconds
Name: -, Instruction: Turn slight left, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight right, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn slight right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: Rue Jean-Baptiste Pigalle, Instruction: Turn right onto Rue Jean-Baptiste Pigalle, Distance: 144.7 meters, Time: 104.2 seconds
Name: Rue Jean-Baptiste Pigalle, Instruction: Continue straight onto Rue Jean-Baptiste Pigalle, Distance: 430.7 meters, Time: 310.1 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn slight right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn slight left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 304.5 meters, Time: 219.2 seconds
Name: -, Instruction: Turn slight right, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 107.6 meters, Time: 77.4 seconds
Name: -, Instruction: Turn left, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn slight right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
