Name: Farrow Lane, Instruction: Head southeast on Farrow Lane, Distance: 66.7 meters, Time: 48.0 seconds
Name: Zuttion Lane, Instruction: Turn left onto Zuttion Lane, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 204.8 meters, Time: 147.5 seconds
Name: Edwin Street, Instruction: Turn right onto Edwin Street, Distance: 3.4 meters, Time: 2.4 seconds
Name: Union Street, Instruction: Turn left onto Union Street, Distance: 84.2 meters, Time: 60.6 seconds
Name: -, Instruction: Turn right, Distance: 121.3 meters, Time: 87.3 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 681.2 meters, Time: 490.5 seconds
Name: -, Instruction: Turn left, Distance: 122.2 meters, Time: 88.0 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Keep right, Distance: 200.5 meters, Time: 144.4 seconds
Name: -, Instruction: Keep left, Distance: 429.1 meters, Time: 309.0 seconds
Name: -, Instruction: Turn right, Distance: 228.4 meters, Time: 164.4 seconds
Name: Saywell Street, Instruction: Turn left onto Saywell Street, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Arrive at Saywell Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
